,city,district,region,metro,adress,age_of_construction,rooms_in_flat,rooms_to_rent,apartment_layout,ceiling_height,restroom,bathroom,remont,window_view,floor_of_flat,height,to_metro,type_of_way,price,kitchen_size,room_size,building_age,share_in_flat,remont_scale,price_per_square
20,Москва,СВАО,р-н Бибирево,Бибирево,улица Пришвина 9/2,1975.0,3.0,1.0,,2.64,1 раздельный,Есть,Косметический,2.0,7.0,12.0,5.0,пешком,20000,9.0,20.0,46.0,0.3333333333333333,1,1000.0
21,Москва,СВАО,р-н Южное Медведково,Медведково,Полярная улица 18,1973.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,9.0,14.0,20.0,пешком,20000,10.0,20.0,48.0,0.5,1,1000.0
22,Москва,ЮАО,р-н Нагатино-Садовники,Нагатинская,Нагатинская улица 8,1959.0,3.0,1.0,Изолированная,,,Есть,Косметический,2.0,9.0,9.0,11.0,пешком,23000,8.0,17.0,62.0,0.3333333333333333,1,1352.9411764705883
23,Москва,ВАО,р-н Перово,Шоссе Энтузиастов,шоссе Энтузиастов 60к1,1988.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,3.0,12.0,15.0,пешком,17000,10.0,15.0,33.0,0.5,1,1133.3333333333333
24,Москва,НАО (Новомосковский),м. Румянцево,Румянцево,д. Румянцево улица Садовая,1958.0,6.0,6.0,Изолированная,,1 раздельный,,Косметический,,1.0,3.0,10.0,пешком,17000,9.235539215686275,18.0,63.0,1.0,1,944.4444444444445
25,Москва,НАО (Новомосковский),м. Румянцево,Румянцево,д. Румянцево улица Садовая,1958.0,6.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,2.0,3.0,10.0,пешком,16000,15.0,20.0,63.0,0.16666666666666666,1,800.0
26,Москва,НАО (Новомосковский),м. Румянцево,Румянцево,д. Румянцево улица Садовая,1958.0,6.0,6.0,Изолированная,,1 раздельный,,Косметический,2.0,2.0,4.0,16.0,пешком,17000,15.0,20.0,63.0,1.0,1,850.0
27,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,2.0,4.0,15.0,пешком,12000,15.0,15.0,63.0,0.2,1,800.0
28,Москва,ЮАО,р-н Зябликово,Красногвардейская,улица Мусы Джалиля 29К1,1983.0,4.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,1.0,16.0,3.0,пешком,14000,10.0,17.0,38.0,0.25,1,823.5294117647059
29,Москва,САО,р-н Бескудниковский,Селигерская,улица 800-летия Москвы 6,1981.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,10.0,16.0,15.0,пешком,16000,8.0,20.0,40.0,0.3333333333333333,1,800.0
30,Москва,ЮАО,р-н Чертаново Центральное,Пражская,улица Красного Маяка 15АС1,1958.0,5.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,3.0,4.0,15.0,пешком,12000,15.0,14.0,63.0,0.2,1,857.1428571428571
31,Москва,ВАО,р-н Измайлово,Измайловская,Измайловский проезд 6К1,1958.0,3.0,1.0,,,1 раздельный,Есть,Косметический,,2.0,3.0,11.0,пешком,16000,9.235539215686275,17.0,63.0,0.3333333333333333,1,941.1764705882352
32,Москва,ЮАО,р-н Даниловский,Технопарк,Автозаводская улица 23С16,1958.0,2.0,1.0,Изолированная,,1 совмещенный,,Дизайнерский,0.0,1.0,2.0,10.0,пешком,36000,9.235539215686275,21.0,63.0,0.5,3,1714.2857142857142
33,Москва,ВАО,р-н Соколиная гора,Измайлово,Фортунатовская улица 20С3,1958.0,2.0,1.0,Изолированная,,1 раздельный,,Евроремонт,2.0,1.0,2.0,4.0,пешком,18000,9.235539215686275,16.0,63.0,0.5,2,1125.0
34,Москва,НАО (Новомосковский),м. Рассказовка,Рассказовка,улица Авиаконструктора Петлякова 7,2012.0,2.0,1.0,Изолированная,2.74,1 раздельный,,Косметический,1.0,12.0,17.0,1209.3415625,на транспорте,20000,18.0,16.0,9.0,0.5,1,1250.0
35,Москва,ЗАО,р-н Проспект Вернадского,Проспект Вернадского,улица Лобачевского 78,1962.0,2.0,1.0,Изолированная,2.64,1 совмещенный,Есть,Косметический,2.0,2.0,5.0,12.0,пешком,16000,6.0,19.0,59.0,0.5,1,842.1052631578947
36,Москва,ЗАО,р-н Дорогомилово,Выставочная,Кутузовский проспект 18,1951.0,6.0,1.0,Изолированная,,1 совмещенный,,Дизайнерский,2.0,2.0,6.0,10.0,пешком,41000,9.235539215686275,10.0,70.0,0.16666666666666666,3,4100.0
37,Москва,САО,р-н Хорошевский,Полежаевская,улица Куусинена 4Ак3,1973.0,2.0,1.0,,2.64,1 раздельный,Есть,Косметический,2.0,9.0,9.0,3.0,пешком,19000,7.0,12.0,48.0,0.5,1,1583.3333333333333
38,Москва,ЮВАО,р-н Кузьминки,Рязанский проспект,улица Федора Полетаева 32К1,1968.0,2.0,1.0,Изолированная,,1 совмещенный,Есть,Косметический,2.0,1.0,9.0,10.0,пешком,16000,6.0,10.0,53.0,0.5,1,1600.0
39,Москва,СВАО,р-н Северное Медведково,Медведково,Широкая улица 16,1969.0,3.0,1.0,,2.64,1 раздельный,Есть,Евроремонт,2.0,9.0,9.0,2.0,пешком,16000,9.235539215686275,15.0,52.0,0.3333333333333333,2,1066.6666666666667
40,Москва,ЮВАО,р-н Текстильщики,Текстильщики,Волжский бульвар 30,1958.0,3.0,1.0,,,,,Косметический,,1.0,5.0,14.0,пешком,17000,9.235539215686275,15.979064587973273,63.0,0.3333333333333333,1,1063.8920636690548
41,Москва,ВАО,р-н Богородское,Бульвар Рокоссовского,бульвар Маршала Рокоссовского 32,1967.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,6.0,9.0,14.0,пешком,19000,10.0,16.0,54.0,0.3333333333333333,1,1187.5
42,Москва,ЮВАО,р-н Выхино-Жулебино,Лермонтовский проспект,Привольная улица 9К1,1958.0,3.0,1.0,,,,,Косметический,,1.0,5.0,9.0,пешком,28000,9.235539215686275,15.979064587973273,63.0,0.3333333333333333,1,1752.2928107490313
